2 0 0
1 0 0 0
0 0 0
0 0 0 0
2 0 0
0.9456115 -0.3252982 -2.599524E-10 -3.205584E-10
0.9966085 0.08229074 -3.795782E-10 -3.134211E-11
0 0 0 0
0.9908455 0.1350013 -1.639412E-09 -4.361982E-10
0 0 0 0
0.6993613 -0.03237322 0.01144169 0.7139434
0.7142302 -0.03877886 0.07596511 0.694695
0.6601222 0.02402996 0.1350162 0.738534
0 0 0 0
0 0 0 0
0 0 0 0
0.6993614 -0.03237323 -0.01144171 -0.7139434
0.7142301 -0.03877884 -0.07596502 -0.6946951
0.6601228 0.02402973 -0.1350169 -0.7385333
0 0 0 0
0 0 0 0
0 0 0 0
0.02307862 0.9996318 -0.009859299 -0.01032067
-0.04863718 0.9987192 -0.0131661 -0.004591929
0.5572471 0.8281212 -0.05813717 -0.01763923
0 0 0 0
0.02307862 0.9996318 0.009859269 0.01032068
-0.04863715 0.9987192 0.01316608 0.00459194
0.557247 0.8281212 0.05813721 0.01763917
0 0 0 0
0.7293456 -0.04796034 0.01125039 0.6823697
0.7293456 -0.04796031 -0.01125042 -0.6823697
0.09990521 0.6338975 2.585828
0.9971724 -0.05149211 -0.05380599 -0.01004548
-0.9979347 0.03643597 0.05203047 0.009583683
-0.9852965 0.08192416 0.1481176 0.02324915
-0.7876787 0.04106778 -0.007113124 -0.6146748
-0.7471374 0.03895405 -0.1877728 -0.6364036
-0.5136095 0.1547206 -0.3026383 -0.7878305
-0.7703142 -0.04016243 0.08636437 0.630511
-0.7001408 -0.03650375 0.3078031 0.6432166
0.2609418 0.07665963 -0.2821892 -0.9200011
0.9978453 -0.02839516 -0.05384231 -0.0244853
0.9981009 0.0172052 -0.05490435 -0.02200082
-0.9996685 -0.01465826 -0.02115656 0.0007909366
0.9973934 -0.02156803 -0.05381792 0.04295403
0.9974858 0.01675696 -0.05212838 0.04498943
-0.9834564 -0.01813477 -0.1802324 -0.001098787
0.9820313 0 0.03229878 0.1859337
0.9811264 0 -0.1322184 -0.1411
0.0998679 0.6338982 2.585817
0.9971835 -0.05145534 -0.05365583 -0.00992632
-0.9979494 0.03628185 0.05188915 0.009397559
-0.9879153 0.07452109 0.1334761 0.02557727
-0.7876396 0.04095388 -0.007234624 -0.6147311
-0.747427 0.038863 -0.1878165 -0.6360562
-0.5215581 0.1418261 -0.2947476 -0.7880269
-0.7702423 -0.0400493 0.08647629 0.6305909
-0.7000341 -0.03639878 0.3081329 0.6431808
0.2603767 0.07399406 -0.2833902 -0.9200104
0.9978369 -0.02866299 -0.05369098 -0.02484491
0.9980943 0.0175416 -0.05478314 -0.0223338
-0.9996155 -0.01484499 -0.0234038 0.0007987634
0.9974105 -0.02148032 -0.05366804 0.04278649
0.9975053 0.01650164 -0.05200049 0.04479835
-0.983779 -0.01789526 -0.1784881 -0.0009012932
0.982058 0 0.03238769 0.185777
0.9812052 0 -0.1319916 -0.1407646
0.09981679 0.6338941 2.58579
0.9971941 -0.0514156 -0.05351753 -0.009809386
-0.9979641 0.03613377 0.05173659 0.009238011
-0.9891344 0.0795746 0.1211077 0.02478216
-0.7875903 0.04083027 -0.007318105 -0.6148014
-0.747636 0.03875894 -0.1878517 -0.6358066
-0.5248401 0.1353193 -0.2906612 -0.78851
-0.7701712 -0.03992722 0.08658736 0.6306701
-0.6999463 -0.03628663 0.3084036 0.643153
0.2601029 0.07295009 -0.2840178 -0.9199777
0.9978228 -0.02894902 -0.05355128 -0.02537644
0.998082 0.01790757 -0.05468312 -0.02283549
-0.9995683 -0.01500502 -0.02525042 0.0008052828
0.9974256 -0.02138663 -0.05352996 0.04265271
0.9975231 0.0162112 -0.05188481 0.04463941
-0.9840237 -0.01764542 -0.1771592 -0.0007117538
0.9820825 0 0.03251079 0.1856258
0.9812709 0 -0.1317928 -0.1404922
0.09973171 0.6338781 2.585737
0.9971973 -0.05140688 -0.05348195 -0.00972846
-0.9979744 0.03602193 0.05163522 0.009129671
-0.9871269 0.071101 0.1409689 0.02555785
-0.7875526 0.04074772 -0.007370352 -0.6148547
-0.7479277 0.03869754 -0.1885179 -0.6352698
-0.5227612 0.1319945 -0.2889526 -0.7910783
-0.7701473 -0.03984718 0.08660216 0.6307024
-0.699745 -0.03620458 0.3092713 0.6429599
0.2547707 0.03776945 -0.2963665 -0.9196914
0.9978118 -0.02912994 -0.05351491 -0.02567492
0.9980711 0.01819057 -0.05467155 -0.02310993
-0.9995756 -0.01516928 -0.02485577 0.00081356
0.9974371 -0.02123062 -0.05349481 0.04250747
0.9975362 0.0159023 -0.0518759 0.04446876
-0.9845303 -0.01740122 -0.1743474 -0.0005371615
0.9821014 0 0.03269367 0.1854939
0.9812872 0 -0.1317787 -0.1403918
0.09958417 0.6338543 2.585639
0.9971974 -0.05143356 -0.05345942 -0.009699423
-0.9979801 0.0359382 0.0515944 0.009076036
-0.9880565 0.07699161 0.1320604 0.01940759
-0.7881284 0.04074511 -0.006779696 -0.6141232
-0.720286 0.03723776 -0.3028883 -0.6229448
-0.4598848 0.07789831 -0.3789248 -0.7992834
-0.7702435 -0.03982049 0.08629072 0.6306292
-0.6678509 -0.03452693 0.4082888 0.621356
0.2066429 -0.01773838 -0.4169772 -0.8849372
0.9978007 -0.02915409 -0.05349177 -0.02612556
0.9980578 0.01835384 -0.05467423 -0.02355086
-0.9995033 -0.01507922 -0.02766441 0.0008083885
0.9974459 -0.02101308 -0.05347275 0.04243701
0.9975457 0.01557762 -0.05188061 0.04436932
-0.9855121 -0.01722068 -0.1687286 -0.0004753179
0.9821203 0 0.03283975 0.1853679
0.9812725 0 -0.1318581 -0.14042
0.09934493 0.6338692 2.585501
0.9971954 -0.0515115 -0.05340399 -0.009794655
0.9979824 -0.03588936 -0.05158032 -0.00908742
-0.987474 0.07721328 0.136975 0.01308197
-0.7947446 0.04107576 -0.0002386488 -0.6055524
-0.5893238 0.03045874 -0.5754414 -0.5662482
-0.5000771 -0.4311688 -0.397934 -0.6369187
-0.7721176 -0.0399063 0.08682606 0.6282541
-0.5941011 -0.03070566 0.6045824 0.5296992
0.1942213 0.2341778 -0.5373597 -0.7865645
0.9977934 -0.02906001 -0.05343601 -0.0266184
0.9980461 0.01844496 -0.05464192 -0.02404593
-0.9994727 -0.01489485 -0.0288457 0.0007976837
0.9974505 -0.02076306 -0.05341765 0.04252139
0.9975493 0.01529518 -0.05184617 0.04442396
-0.9861353 -0.01712402 -0.1650569 -0.0005166546
0.9821949 0 0.03261188 0.1850126
0.9813022 0 -0.1316839 -0.1403761
0.09888367 0.6340569 2.585335
0.9971639 -0.05166418 -0.05377341 -0.01017572
0.9979583 -0.03588375 -0.05203144 -0.00918895
-0.9868075 0.06456779 0.1482165 0.008589312
-0.8136377 0.04242122 -0.004582483 -0.5798043
-0.4862246 0.08947907 -0.7134457 -0.4965626
-0.2578184 -0.3526613 -0.63852 -0.6336025
-0.7974535 -0.04157741 0.09775791 0.5939552
-0.4840671 -0.02195738 0.771713 0.4118932
0.0810471 0.2475203 -0.7035384 -0.6612101
0.9977787 -0.0288605 -0.05380656 -0.02664087
0.9980291 0.01825182 -0.05500368 -0.02407233
-0.9995778 -0.01459788 -0.02511157 0.000787207
0.9974186 -0.02032618 -0.05378714 0.04301109
0.9975128 0.0150127 -0.05223005 0.04488911
-0.9865024 -0.01707875 -0.1628517 -0.0009047052
0.9824748 0 0.03092489 0.1838122
0.9813597 0 -0.1313628 -0.1402748
0.0983642 0.6343322 2.585186
0.9971218 -0.05181514 -0.05431523 -0.01064042
0.9978879 -0.03590835 -0.05332365 -0.009324374
-0.9848111 0.05120484 0.1659069 0.0004423359
-0.8171179 0.04366386 -0.02925025 -0.5740699
-0.4182764 0.1891724 -0.7154428 -0.5266881
0.02419159 0.1143362 0.7226284 0.6812859
-0.8190557 -0.04376741 0.1178674 0.5597674
-0.411494 0.05571971 0.7707479 0.4832348
0.06699295 0.2900804 -0.7028359 -0.6460555
0.9977425 -0.02860132 -0.05434905 -0.0271674
0.9979995 0.01746625 -0.0555447 -0.02463073
-0.9997717 -0.01375603 -0.01633894 0.0007493188
0.9973736 -0.01987651 -0.05432894 0.04358167
